filename;Ukrainian title;Transliterated title;Name in catalogue;year;collector;place;performer;number_of_voices; performer gender and age;Syllabic structure;Strophes;archive reference;original metadata;audio recording;additional remarks
Kmeln_ballads_491_Oi daleko, daleko;Ой далеко, далеко;Oi daleko, daleko;05-БР-13;1986;Дмитренко Микола;с. Яхнівці Волочиського р-ну Хмельницької обл.;Настина В. П.;single;woman;7+7;3st;Нотація Єфремової Л. О.;"Зап. 24 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від Нас-
тиної В. П. Нотація Єфремової Л. О.";;
Kmeln_ballads_492_Slavnyi horod Lebedyn;Славний город Лебедин;Slavnyi horod Lebedyn;05-БР-14;1954;експ. ІМФЕ;с. Пилява Старосинявського р-ну Хмельницької обл.;"Супрун Л., 
Доценко Д. та ін.";2 voices;;7+7;5st;ІМФЕ, ф. 14-5, од. зб. 171, арк. 18, № 5. Розш. О. Стьожка.;"Зап. 1954 р. експ. ІМФЕ у с. Пилява Старосинявського р-ну Хмельницької обл. від Супрун Л., 
Доценко Д. та ін. – ІМФЕ, ф. 14-5, од. зб. 171, арк. 18, № 5. Розш. О. Стьожка.";;
Kmeln_ballads_493_Oi ziishov misiats, ziishov yasnyi;Ой зійшов місяць, зійшов ясний;Oi ziishov misiats, ziishov yasnyi;06-БК-02;1974;Нагорний Л. С.;с. Борбухи Ярмолинецького р-ну Хмельницької обл.;"Макарова 
Ганна Павлівна";2 voices;woman;9+8_r;6st;-;"Зап. 1974 р. Нагорний Л. С. у с. Борбухи Ярмолинецького р-ну Хмельницької обл. від Макарової 
Ганни Павлівни.";;
Kmeln_ballads_495_Kotyvsia misiats iz-za khmary;Котився місяць із-за хмари;Kotyvsia misiats iz-za khmary;06-БК-02;2010;Коваль-Фучило Ірина;"с. Великий Чернятин Старокостянтинівського р-ну 
Хмельницької обл.";Червінська Людмила Дмитрівна, 1962 р. н.;single;woman;9+8;6st;Розш. Єфремова Л. О.;"Зап. 23 липня 2010 р. Коваль-Фучило І. М. у с. Великий Чернятин Старокостянтинівського р-ну 
Хмельницької обл. від Червінської Людмили Дмитрівни, 1962 р. н. Розш. Єфремова Л. О.";;Мабуть, через трагічний зміст виконавиця переривала спів й казала, що не хоче співати цю пісню, але відмовлялася й проказати слова і, зрештою, проспівала до кінця. (Л. Є.)
Kmeln_ballads_498_Oi v sadu, v sadu;Ой в саду, в саду;Oi v sadu, v sadu;07-БК-04;1918;Постоловський А.;с.Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.;від матері та тітки.;single;women;5+5_r;6st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 60, № 37.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. ІМФЕ, ф. 6-4, од. зб. 119, арк. 60, № 37.";;
Kmeln_ballads_499_Oi pid horoiu;Ой під горою;Oi pid horoiu;07-БК-04;1918;Постоловський А.;с.Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.;від матері та тітки.;single;woman;5+5;6st; ІМФЕ, ф. 6-4, од. зб. 119, арк. 63, № 38.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. ІМФЕ, ф. 6-4, од. зб. 119, арк. 63, № 38. вар. зап. 19.V.1971 р. експ. ІМФЕ у 
складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв В. Т. у м. Кам’янець-Подільський 
Хмельницької обл. від Сис Тамари Андріївни, 1913 р. н., музейний працівник, збирач фольклору. 
– ІМФЕ, ф. 14-5, од. зб. 419, арк. 116-117, пл. ф. 14-10, од. зб. 1181 (1). Нотація З. Василенко.";;
Kmeln_ballads_499v_Oi pid horoiu;Ой під горою;Oi pid horoiu;07-БК-04;1971;Шумада Наталя, Іванов В. Ф., Довженок Галина, Спінатьєв В. Т. ;"м.Кам’янець-Подільський 
Хмельницької обл.";Сис Тамара Андріївна, 1913 р. н., музейний працівник, збирач фольклору.;single;woman;5+5_r;6st;ІМФЕ, ф. 14-5, од. зб. 419, арк. 116-117, пл. ф. 14-10, од. зб. 1181 (1). Нотація З. Василенко.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. ІМФЕ, ф. 6-4, од. зб. 119, арк. 63, № 38. вар. зап. 19.V.1971 р. експ. ІМФЕ у 
складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв В. Т. у м. Кам’янець-Подільський 
Хмельницької обл. від Сис Тамари Андріївни, 1913 р. н., музейний працівник, збирач фольклору. 
– ІМФЕ, ф. 14-5, од. зб. 419, арк. 116-117, пл. ф. 14-10, од. зб. 1181 (1). Нотація З. Василенко.";;
Kmeln_ballads_501_Oi khodyla divchynonka;Ой ходила дівчинонька;Oi khodyla divchynonka;07-БК-05;1926;Гайдай Михайло;"с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.)";Васькін Іван;single;man;4+4+3;4st;ІМФЕ, ф. 6-3, од. зб. 69, арк. 36 (18 зв.), № 54.;"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Івана Васькіна. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 36 (18 зв.), № 54.";;
Kmeln_ballads_502_Oi na stavu;Ой на ставу;Oi na stavu;07-БК-05;1952;Нагорний Л. С.;с. Баламутівка Ярмолинецького р-ну Хмельницької обл.;від матері.;2 voices;woman;4+4+6;3st;-;Зап. 1952 р. Нагорний Л. С. у с. Баламутівка Ярмолинецького р-ну Хмельницької обл. від матері.;;
Kmeln_ballads_503_Oi siadu ya krai vykontsia;Ой сяду на край віконця;Oi siadu ya krai vykontsia;07-БК-05;1926;Гайдай Михайло;"с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.)";Васькін Іван;single;man;9+8;3st;ІМФЕ, ф. 6-3, од. зб. 69, арк. 41 (21), № 62.;"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Івана Васькіна. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 41 (21), № 62. ";;
Kmeln_ballads_504_Oi Vasyliu, Vasylenku;Ой Василю, Василеньку;Oi Vasyliu, Vasylenku;07-БК-07;1918;Постоловський А.;с.Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.;-;single;;4+4+6;4st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 68-69, № 42.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 68-69, № 42.";;
Kmeln_ballads_505_Oi kazala-s, divchynonko;Ой казала-с, дівчинонько;Oi kazala-s, divchynonko;07-БК-08;1918;Постоловський А.;с.Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.;-;single;;4+4+3_r;6st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 46, № 26.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл..
ІМФЕ, ф. 6-4, од. зб. 119, арк. 46, № 26. Вар. зап. 1975 р. Нагорний Л. С. у с. Баламутівка Ярмоли-
нецького р-ну Хмельницької обл. від Старцуна П. О., Мосьондза Н. П. ";;
Kmeln_ballads_505v_Oi kazala-s, divchynonko;Ой казала-с, дівчинонько;Oi kazala-s, divchynonko;07-БК-08;1975;Нагорний Л. С.;"с. Баламутівка Ярмоли-
нецького р-ну Хмельницької обл.";Старцун П. О., Мосьондза Н. П.;2 voices;men;4+4+3_r;6st;-;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл..
ІМФЕ, ф. 6-4, од. зб. 119, арк. 46, № 26. Вар. зап. 1975 р. Нагорний Л. С. у с. Баламутівка Ярмоли-
нецького р-ну Хмельницької обл. від Старцуна П. О., Мосьондза Н. П. ";;
Kmeln_ballads_506_chereshenka ta y vyshenka;Черешенька та й вишенька;chereshenka ta y vyshenka;07-БК-08;1928;Харків Володимир;"м. Стара Ушиця Кам’янецької окр. (нині с. Стара Ушиця Кам’янець-
Подільського р-ну Хмельницької обл.).";-;single;;4+4+6;4st;"ІМФЕ, ф. 6-3, од. зб. 81, арк. 63-64 (72-74) (текст), арк. 
65 (75)  (мел.) № 57. Чeрнетка.";"Зап. 1928 р. Харків В. Й. у м. Стара Ушиця Кам’янецької окр. (нині с. Стара Ушиця Кам’янець-
Подільського р-ну Хмельницької обл.). – ІМФЕ, ф. 6-3, од. зб. 81, арк. 63-64 (72-74) (текст), арк. 
65 (75)  (мел.) № 57. Чeрнетка.";;
Kmeln_ballads_507_chereshenka - ne vyshenka;Черешенька — не вишенька;chereshenka - ne vyshenka;07-БК-08;1928;Харків Володимир;"с. Вахнівці Староушицького р-ну Кам’янецької окр. (нині Новоушицького 
р-ну)";Пізик Г.;single;;4+4+6_r;6st;ІМФЕ, ф. 6-3, од. зб. 81, арк. 175 (202-203) – текст, арк. 176 (204) – мел., № 36.;"Зап. 1928 р. Харків В. у с. Вахнівці Староушицького р-ну Кам’янецької окр. (нині Новоушицького 
р-ну) від Г. Пізик. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 175 (202-203) – текст, арк. 176 (204) – мел., № 36. ";;
Kmeln_ballads_509_Kalyna-malyna;Калина-малина;Kalyna-malyna;07-БК-09;1954;Гуменюк Андрій, Березовський І. П.;с. Пилява Старосинявського р-ну;"Полікарчук
Г., Гонта Н., Бузік Н.";2 voices;;6+4;6st;ІМФЕ, ф. 14-5, од. зб. 171, арк. 4, № 5. Нотація Стьожки О.;"Зап. 1954 р. Гуменюк А. І., Березовський І. П. у с. Пилява Старосинявського р-ну від Полікарчук
Г., Гонти Н., Бузік Н. – ІМФЕ, ф. 14-5, од. зб. 171, арк. 4, № 5. Нотація Стьожки О.";;
